LGDNG_CD,CTPV_NM,CTGG_NM,EMD_NM,LA,LNGT
1111010100,서울특별시,종로구,청운동,37.589197,126.969329
1111010200,서울특별시,종로구,신교동,37.58449,126.967923
1111010300,서울특별시,종로구,궁정동,37.584682,126.973144
1111010400,서울특별시,종로구,효자동,37.582649,126.971931
1111010500,서울특별시,종로구,창성동,37.580545,126.972462
1111010600,서울특별시,종로구,통의동,37.578058,126.972852
1111010700,서울특별시,종로구,적선동,37.575305,126.973773
1111010800,서울특별시,종로구,통인동,37.580144,126.970211
1111010900,서울특별시,종로구,누상동,37.580026,126.962264
1111011000,서울특별시,종로구,누하동,37.579282,126.968274
1111011100,서울특별시,종로구,옥인동,37.583523,126.963385
1111011200,서울특별시,종로구,체부동,37.577589,126.970869
1111011300,서울특별시,종로구,필운동,37.577801,126.967749
1111011400,서울특별시,종로구,내자동,37.575304,126.971717
1111011500,서울특별시,종로구,사직동,37.576186,126.968846
1111011600,서울특별시,종로구,도렴동,37.573161,126.974647
1111011700,서울특별시,종로구,당주동,37.571571,126.974
1111011800,서울특별시,종로구,내수동,37.573308,126.971962
1111011900,서울특별시,종로구,세종로,37.580192,126.976778
1111012000,서울특별시,종로구,신문로1가,37.570173,126.973901
1111012100,서울특별시,종로구,신문로2가,37.570662,126.969722
1111012200,서울특별시,종로구,청진동,37.571439,126.980154
1111012300,서울특별시,종로구,서린동,37.569511,126.980399
1111012400,서울특별시,종로구,수송동,37.573677,126.98061
1111012500,서울특별시,종로구,중학동,37.575284,126.979641
1111012600,서울특별시,종로구,종로1가,37.570257,126.980149
1111012700,서울특별시,종로구,공평동,37.571266,126.983147
1111012800,서울특별시,종로구,관훈동,37.574128,126.98469
1111012900,서울특별시,종로구,견지동,37.573191,126.98306
1111013000,서울특별시,종로구,와룡동,37.582342,126.991214
1111013100,서울특별시,종로구,권농동,37.574323,126.991763
1111013200,서울특별시,종로구,운니동,37.576374,126.988222
1111013300,서울특별시,종로구,익선동,37.574334,126.989694
1111013400,서울특별시,종로구,경운동,37.575188,126.986383
1111013500,서울특별시,종로구,관철동,37.569104,126.985986
1111013600,서울특별시,종로구,인사동,37.571703,126.986049
1111013700,서울특별시,종로구,낙원동,37.572557,126.988607
1111013800,서울특별시,종로구,종로2가,37.570889,126.98825
1111013900,서울특별시,종로구,팔판동,37.582809,126.980676
1111014000,서울특별시,종로구,삼청동,37.584997,126.981758
1111014100,서울특별시,종로구,안국동,37.577386,126.983607
1111014200,서울특별시,종로구,소격동,37.579624,126.980908
1111014300,서울특별시,종로구,화동,37.580691,126.982696
1111014400,서울특별시,종로구,사간동,37.577252,126.980379
1111014500,서울특별시,종로구,송현동,37.576759,126.981846
1111014600,서울특별시,종로구,가회동,37.580031,126.984784
1111014700,서울특별시,종로구,재동,37.578302,126.985246
1111014800,서울특별시,종로구,계동,37.582432,126.986903
1111014900,서울특별시,종로구,원서동,37.583931,126.988266
1111015000,서울특별시,종로구,훈정동,37.574363,126.994172
1111015100,서울특별시,종로구,묘동,37.572406,126.991745
1111015200,서울특별시,종로구,봉익동,37.572165,126.992995
1111015300,서울특별시,종로구,돈의동,37.57197,126.990726
1111015400,서울특별시,종로구,장사동,37.569217,126.994023
1111015500,서울특별시,종로구,관수동,37.569062,126.99046
1111015600,서울특별시,종로구,종로3가,37.570388,126.992329
1111015700,서울특별시,종로구,인의동,37.572331,126.997668
1111015800,서울특별시,종로구,예지동,37.569621,126.998302
1111015900,서울특별시,종로구,원남동,37.57552,126.997495
1111016000,서울특별시,종로구,연지동,37.573747,127.000131
1111016100,서울특별시,종로구,종로4가,37.570745,126.999764
1111016200,서울특별시,종로구,효제동,37.572594,127.003056
1111016300,서울특별시,종로구,종로5가,37.570604,127.003527
1111016400,서울특별시,종로구,종로6가,37.571891,127.007584
1111016500,서울특별시,종로구,이화동,37.576994,127.004338
1111016600,서울특별시,종로구,연건동,37.578674,126.999669
1111016700,서울특별시,종로구,충신동,37.574947,127.005958
1111016800,서울특별시,종로구,동숭동,37.581377,127.004872
1111016900,서울특별시,종로구,혜화동,37.586855,127.00062
1111017000,서울특별시,종로구,명륜1가,37.589107,126.997468
1111017100,서울특별시,종로구,명륜2가,37.584696,126.99903
1111017200,서울특별시,종로구,명륜4가,37.582231,127.000072
1111017300,서울특별시,종로구,명륜3가,37.589565,126.993075
1111017400,서울특별시,종로구,창신동,37.575224,127.012828
1111017500,서울특별시,종로구,숭인동,37.574528,127.019597
1111017600,서울특별시,종로구,교남동,37.567486,126.965426
1111017700,서울특별시,종로구,평동,37.568808,126.967833
1111017800,서울특별시,종로구,송월동,37.570062,126.965194
1111017900,서울특별시,종로구,홍파동,37.572933,126.962363
1111018000,서울특별시,종로구,교북동,37.571784,126.961272
1111018100,서울특별시,종로구,행촌동,37.573327,126.962272
1111018200,서울특별시,종로구,구기동,37.619373,126.959299
1111018300,서울특별시,종로구,평창동,37.606391,126.968357
1111018400,서울특별시,종로구,부암동,37.592414,126.964061
1111018500,서울특별시,종로구,홍지동,37.600791,126.956587
1111018600,서울특별시,종로구,신영동,37.602504,126.961818
1111018700,서울특별시,종로구,무악동,37.575985,126.958245
1114010100,서울특별시,중구,무교동,37.568152,126.978995
1114010200,서울특별시,중구,다동,37.567893,126.981173
1114010300,서울특별시,중구,태평로1가,37.567708,126.977234
1114010400,서울특별시,중구,을지로1가,37.566011,126.980508
1114010500,서울특별시,중구,을지로2가,37.56586,126.984004
1114010600,서울특별시,중구,남대문로1가,37.567861,126.982862
1114010700,서울특별시,중구,삼각동,37.568081,126.984225
1114010800,서울특별시,중구,수하동,37.567266,126.984624
1114010900,서울특별시,중구,장교동,37.567245,126.986865
1114011000,서울특별시,중구,수표동,37.56745,126.9895
1114011100,서울특별시,중구,소공동,37.564101,126.980255
1114011200,서울특별시,중구,남창동,37.557696,126.977559
1114011300,서울특별시,중구,북창동,37.56222,126.978042
1114011400,서울특별시,중구,태평로2가,37.562983,126.976357
1114011500,서울특별시,중구,남대문로2가,37.563698,126.98203
1114011600,서울특별시,중구,남대문로3가,37.562011,126.980319
1114011700,서울특별시,중구,남대문로4가,37.560107,126.975457
1114011800,서울특별시,중구,남대문로5가,37.557577,126.974295
1114011900,서울특별시,중구,봉래동1가,37.559505,126.972922
1114012000,서울특별시,중구,봉래동2가,37.556538,126.970968
1114012100,서울특별시,중구,회현동1가,37.555589,126.981204
1114012200,서울특별시,중구,회현동2가,37.558753,126.982919
1114012300,서울특별시,중구,회현동3가,37.560152,126.984059
1114012400,서울특별시,중구,충무로1가,37.561435,126.982162
1114012500,서울특별시,중구,충무로2가,37.562048,126.989609
1114012600,서울특별시,중구,명동1가,37.564286,126.984638
1114012700,서울특별시,중구,명동2가,37.562887,126.985227
1114012800,서울특별시,중구,남산동1가,37.559334,126.98458
1114012900,서울특별시,중구,남산동2가,37.558419,126.986396
1114013000,서울특별시,중구,남산동3가,37.560718,126.987762
1114013100,서울특별시,중구,저동1가,37.564412,126.987789
1114013200,서울특별시,중구,충무로4가,37.562265,126.994327
1114013300,서울특별시,중구,충무로5가,37.56313,126.999827
1114013400,서울특별시,중구,인현동2가,37.564204,126.996124
1114013500,서울특별시,중구,예관동,37.564215,126.998189
1114013600,서울특별시,중구,묵정동,37.561454,127.000371
1114013700,서울특별시,중구,필동1가,37.561075,126.992453
1114013800,서울특별시,중구,필동2가,37.55932,126.994626
