본부,구분,사업비,연간계획,1월 누계_계획,1월 누계_실적,2월 누계_계획,2월 누계_실적,3월 누계_계획,3월 누계_실적,4월 누계_계획,4월 누계_실적,5월 누계_계획,5월 누계_실적,6월 누계_계획,6월 누계_실적,7월 누계_계획,7월 누계_실적,8월 누계_계획,8월 누계_실적,9월 누계_계획,9월 누계_실적,10월 누계_계획,10월 누계_실적,11월 누계_계획,11월 누계_실적,12월 누계_계획,12월 누계_실적
합계,매입,사업비,3829968.3540000007,83909.1,404102.0869167,250367.29425,509546.42808569997,458032.3885,607622.4280856999,803776.48275,803956.4964457,1150192.5769999998,1025826.5258177,1523967.7712500002,1397149.7843557,1902580.9655,1673316.9700126995,2277341.15975,1986470.1605276999,2652611.3540000007,2441123.6115506995,3023588.3540000007,2663555.1132377,3395205.3540000007,2972539.8939696993,3829968.3540000007,
서울,매입,사업비,1058958.7000000002,22271.75,190222.823302,66554.15,249363.683078,121119.79999999999,281842.683078,215415.44999999998,433275.63268399995,309711.1,459660.51461099996,410070.5,495471.93071799993,510787.9,577473.9255159999,611716.3,593161.7377549999,712644.7000000001,688871.1856659999,822971.7000000001,746990.9297729998,933554.7000000001,841787.8009039998,1058958.7000000002,
인천,매입,사업비,647804.3500000001,14496.925,69481.560899,42999.825,75516.826258,78577.79999999999,82294.826258,139881.775,99284.87052,201185.75,166236.98752199998,266627.65,217532.04341599997,332286.55000000005,267551.956806,397945.45000000007,316673.03640599997,463604.3500000001,394339.32335799997,522535.3500000001,468217.74485699995,581466.3500000001,475370.87055399996,647804.3500000001,
경기,매입,사업비,683725.2040000001,14762.45,81991.09119,44703.963,99458.341876,82768.02600000001,123160.341876,146153.089,127079.271942,209538.152,133288.551467,277889.66500000004,309609.36959899997,346241.1780000001,332643.221631,414592.6910000001,412852.70996,482944.20400000014,486566.132082,547881.2040000001,548610.204334,612818.2040000001,672108.895469,683725.2040000001,
부산울산,매입,사업비,291444.00200000004,6663.1669999999995,13285.271636,19828.084,14846.902097,35730.834,31289.902097,62055.584,39119.407846999995,88380.334,70051.071002,117338.251,91425.564974,146296.168,151207.030394,175254.08500000002,223508.024498,204212.00200000004,256641.87013300002,232445.00200000004,259099.44991800003,260678.00200000004,282531.37895600003,291444.00200000004,
강원,매입,사업비,88636.25,1937.5,4352.447478,5814.90625,5899.808488,10126.8125,6228.808488,16881.71875,8080.137460999999,23860.625,15471.605421,31704.03125,28222.903125,39323.4375,29212.811117,46942.84375,40721.902955,54715.25,45250.680315,62712.25,51429.433428,70709.25,61863.524928,88636.25,
충북,매입,사업비,71530.8,1702.1749999999997,3014.986,5329.193749999999,3037.7129999999997,9764.037499999999,3357.7129999999997,16128.881249999999,4117.7701799999995,22493.725,7332.26819,29605.743749999998,10744.0829,36717.7625,11871.576369999999,43829.78125,23888.284848,51165.8,41515.634844,57457.8,43285.178674,63902.8,49684.219007,71530.8,
대전충남,매입,사업비,231441.99799999996,5296.8330000000005,4097.907587,15886.791000000001,10814.611723,28375.916,15944.611723,49284.041,17918.136473,70192.166,17919.567303,93029.124,20848.497283,116029.082,52330.377363,139029.03999999998,103216.767173,162028.99799999996,143838.355093,184378.99799999996,152972.168514,206728.99799999996,184083.74761299998,231441.99799999996,
전북,매입,사업비,93852.7,2105.825,7699.37661,6357.61875,7701.754150000001,11729.5875,9019.75415,19758.55625,9019.75415,28011.525,13120.194230000001,37246.318750000006,26946.74708,46481.1125,33515.78739,55715.90625,34035.999566,64950.7,37850.474335,74040.7,38974.235146,83130.7,39381.703519999995,93852.7,
광주전남,매입,사업비,191716,4386,1663.0319437,13077,4030.2701347,23576,12168.2701347,40464,12505.9585467,57352,47909.7308087,75917,54883.9063587,94482,55227.6838987,113207,56585.7834887,132165,133510.3140287,151293,136588.82180869998,170421,136867.76712869998,191716,
대구경북,매입,사업비,292024,6517,14936.898170999999,19044.625,25485.622911,34978.25,26343.622911,61094.875,30009.367095999998,87211.5,52853.725474,115462.125,86858.673724,143712.75,91421.85455999999,171963.375,107149.910794,200214,135355.10391499999,227842,137936.12166499998,255701,143424.495286,292024,
경남,매입,사업비,153225.35,3375.475,13356.6921,9867.1375,13390.89437,18654.325,15971.89437,32005.5125,19122.189546,45580.7,34419.309789000006,60372.362499999996,43879.065178000004,75164.025,57532.226717000005,89955.6875,58552.903084000005,104747.35,60964.43778100001,118781.35,61623.72512000001,132815.35,67608.39060400001,153225.35,
제주,매입,사업비,25609,394,0,904,0,2631,0,4653,4424,6675,7563,8705,10727,15059,13328.518250000001,17189,16123.1,19219,16420.1,21249,17827.1,23279,17827.1,25609,
